,fluxes
R_GTMLT,0.0
R_GTPCII,0.0
R_GUAPRT,0.0
R_GUAt2r,0.0
R_GUAtm,0.0
R_RPI,-0.005877622640932585
R_H2Oter,-0.0013794019007141488
R_H2Otm,-6.90793409357746
R_TKT2,-0.00196288671012342
R_H2Otp,0.0
R_H2Otv,0.0
R_HACD10p,0.0
R_HACD4p,0.0
R_HACD5p,0.0
R_HACD6p,0.0
R_HACD7p,0.0
R_HACD8p,0.0
R_AGAT_SC,0.003548756960363744
R_HBZOPT6,0.0
R_HBZOPT6m,0.0
R_DAGPYP_SC,0.0008433289781607338
R_HCO3E,0.10691333139828732
R_HCO3Em,0.0
R_HCO3En,0.0
R_HCYSMT,0.0
R_HCYSt2p,0.0
R_HDCAt,0.0
R_HDCEAt,0.0
R_HETZK,0.0
R_HEX1,0.6699999999999999
R_HEX4,0.0
R_DASYN_SC,0.0024973373791780623
R_HGNTOR,0.0
R_GAT1_SC,0.003548756960363744
R_HISTD,0.00030189677073720606
R_HISTP,0.00030189677073720606
R_HISTRS,0.0
R_HISTRSm,0.0
R_HISt2m,0.0
R_HISt2r,0.0
R_HKYNH,0.0
R_HMBS,0.0
R_HMGCOAR,-0.008276411404284893
R_HMGCOAS,0.024855770451330115
R_HMGCOASm,0.0
R_HMGCOAtm,0.0
R_HMPK1,0.0
R_HPPKm,0.0
R_HPROa,0.0
R_HPROb,0.0
R_HPROxm,0.0
R_HPROym,0.0
R_HSDxi,0.001997895116549463
R_MFAPS_SC,0.001248543690265738
R_PETOHM_SC,0.001248543690265738
R_HSK,0.00174863924517152
R_HSTPT,0.00030189677073720606
R_HXANt2r,0.0
R_HXPRT,0.0
R_HYPOE,0.0
R_PINOS_SC,0.00027051781635955045
R_ICDHy,0.19867293618268492
R_PMETM_SC,0.001248543690265738
R_ICDHyp,0.0
R_ICL,0.0
R_ID3ACALDtm,0.0
R_IG3PS,0.00030189677073720606
R_IGPDH,0.00030189677073720606
R_PSERDm_SC,0.00210171520949532
R_PSERS_SC,0.002226819562818512
R_ILETAm,0.0
R_ILETRS,0.0
R_ILETRSm,0.0
R_ILEt2r,0.0
R_IMPC,-0.0042713093015537594
R_IMPD,0.002182612605283906
R_IND3ACtm,0.0
R_INDPYRD,0.0
R_INSK,0.0
R_ASPCTn,0.0028597010353024603
R_INSt2,0.0
R_IPCS124_SC,0.0
R_IPCS126_SC,0.0
R_IPCS224_SC,0.0
R_IPCS226_SC,0.0
R_IPCS324_SC,0.0
R_IPCS326_SC,0.0
R_IPDDI,0.0027588038014282976
R_DHORD4,0.0028597010353024603
R_DHORTSn,-0.0028597010353024603
R_OMPDC,0.0028597010353024603
R_IPPS,0.0
R_ORPT,-0.0028597010353024603
R_ITCOALm,0.0
R_TMDS,5.133173485983944e-05
R_ACS,0.0
R_KYN,0.0
R_KYN3OX,0.0
R_Kt2r,0.0
R_HCITSm,0.0015524711948390285
R_LEUTAm,0.0
R_LEUTRS,0.0
R_LEUTRSm,0.0
R_LEUt2r,0.0
R_LGTHL,0.0
R_C14STR,0.0013794019007141488
R_C24STRer,0.0012702429222905727
R_LPP_SC,0.0
R_LYSTRS,0.0
R_LYSTRSm,0.0
R_LYSt2m,0.0
R_LYSt2r,0.0
R_L_LACDm,0.0
R_L_LACt2r,0.0
R_M1PD,0.0
R_MACACI,0.0
R_MALOAAtp,0.0
R_MALSp,0.0
R_MALT,0.0
R_MALTt2,0.0
R_MALt2r,0.0
R_MALtm,-0.8433560855012985
R_C3STDH1,0.0013794019007141488
R_C3STDH2,0.0013794019007141488
R_C3STKR1,0.0013794019007141488
R_MANt2,0.0
R_C3STKR2,0.0013794019007141488
R_MCOATA,0.0
R_MCOATAm,0.0
R_C4STMO1,0.0013794019007141488
R_C4STMO2,0.0013794019007141488
R_MDHp,0.0
R_ME1m,0.0
R_ME2m,0.0
R_MELIBt2,0.0
R_METAT,0.005015873993087786
R_METB1,0.0
R_CHLSTI,0.0012702429222905727
R_METTRS,0.0
R_METTRSm,0.0
R_METt2m,0.0
R_METt2r,0.0
R_MEVK1,0.0
R_MEVK2,0.008276411404284893
R_MEVK3,0.0
R_DPMVD,0.008276411404284893
R_LNS14DM,0.0013794019007141488
R_MHPGLUT,0.0
R_MI1PP,0.00027051781635955045
R_MI1PS,0.00027051781635955045
R_MIP2CS124_SC,0.0
R_MIP2CS126_SC,0.0
R_MIP2CS226_SC,0.0
R_MIP2CS324_SC,0.0
R_MIP2CS326_SC,0.0
R_MLTHFtm,-0.006265233864500965
